0.25625,0.48783
0.25086,0.48912
0.24682,0.49298
0.24008,0.49941
0.23200,0.50971
0.22257,0.52258
0.21719,0.53417
0.21315,0.54189
0.21045,0.54961
0.21045,0.56248
0.21719,0.58308
0.22257,0.59724
0.23739,0.62169
0.24412,0.62813
0.25625,0.63971
0.27510,0.65258
0.29261,0.66288
0.30743,0.66931
0.33571,0.67961
0.37477,0.68219
0.40845,0.68219
0.43000,0.68219
0.45693,0.67961
0.48387,0.67704
0.49465,0.67575
0.50812,0.67189
0.52293,0.66803
0.54717,0.65644
0.55391,0.65258
0.56199,0.64615
0.57007,0.63971
0.57815,0.63327
0.58758,0.62555
0.60913,0.59724
0.61452,0.58694
0.61721,0.57664
0.61856,0.56506
0.61587,0.54318
0.60374,0.52001
0.59432,0.50842
0.58354,0.49813
0.55256,0.47882
0.52697,0.46595
0.50946,0.45823
0.47714,0.45179
0.46097,0.45179
0.44616,0.45437
0.42865,0.45823
0.41114,0.46724
0.39632,0.47367
0.38555,0.48011
0.37612,0.48783
0.35996,0.50714
0.34783,0.52902
0.34110,0.54832
0.33302,0.59595
0.33437,0.61139
0.33841,0.62813
0.34649,0.64486
0.35457,0.65773
0.35996,0.66674
0.37208,0.67704
0.39363,0.68862
0.41518,0.69506
0.43000,0.69892
0.46232,0.70278
0.47983,0.70278
0.49330,0.70278
0.51620,0.70020
0.53775,0.69634
0.54987,0.69377
0.55930,0.69119
0.57007,0.68862
0.58219,0.68347
0.59028,0.67704
0.59970,0.66674
0.60913,0.65129
0.61452,0.64357
0.62125,0.62813
0.62395,0.62169
0.62529,0.61783
0.62529,0.61525
0.61991,0.60496
0.60240,0.58951
0.58623,0.58050
0.55391,0.56892
0.50677,0.56248
0.49330,0.56248
0.45693,0.56506
0.44616,0.56892
0.43538,0.57278
0.43000,0.57664
0.42326,0.58179
0.41787,0.58823
0.41249,0.59981
0.41114,0.61139
0.41249,0.62426
0.41518,0.63585
0.42057,0.64743
0.42461,0.65516
0.43538,0.66545
0.44750,0.67446
0.46906,0.68733
0.46906,0.68733
